,,,"жёлтым выделяем ТОЛЬКО то, что изменилось в этом файле по сравнению с предыдущим. Перед этим все старые выделения убираем!",,,,,,,,,,,,,,,,
,,,Удалена ,,,,,,,,,,,,,,,,
,79255254541 Федор ,,свободный для новых вм,,,,,,,,,,,,,,,,
,,,"не совпадало с ВМ  или отсутвовал в файле( вм жива и работает), Выставленно ральное значение  ",,,,,,,,,,,,,,,,
,,,временные из бекапа ,,,,,,,,,,,,,,,,
,,,Шлюз по умолчанию  10.20.42.23 для новых вм,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Имя севера (VM),vCPU,RAM,SSD C,SSD E,SSD Суммарно,HDD,,Цена с НДС,# IP,IP-внутр,IP-public,Ссылка на Grafana,Среднее потребленее CPU за 7 дней,Сервисы,Описание сервиса,Кто владеет,К удалению,
,142105_ubuntu2204_k8s01_node02,8,32,120,,120,,,5 920,,10.20.42.106,,https://grafana.ics-it.ru/d/ov0oEgdik/linux-hosts-metrics?orgId=1&from=now-7d&to=now&var-host=node2.kubernetes01.ics.local:9100&var-job=devops-nodeexporter-kubernetes01,"37,70%","Flux
Gramax dev
Gramax prod
ingress Nginx
istio-ingress
keda-admission-webhooks
kube-prometheus-stack
csi-driver-nfs
mdt-develop-tests-mssql
mdt-demo-beta
mdt-demo-develop
mdt-demo-main
mdt-develop-pgsql
mdt-main-pgsql
mdt-main-tests-mssql
metallb-system
metrics-server
quiz-prod (Web Mobile)
quiz-prod-old (Web Есть задача на Devops QZ-10121)
mdt-quiz-dev1 (MDT Dev-stand)
mdt-quiz-dev2 (MDT Dev-stand)
quiz-dev1 (Web Dev-stand)
quiz-dev2 (Web Dev-stand)
quiz-dev3 (Web Dev-stand)
quiz-e2e (Web Dev-stand)
quiz-preprod (Web Dev-stand)
quiz-prod-demo (Web Demo-stand)
quiz-test1 (Web Dev-stand)",Kubernetes,DO,,
,142106_ubuntu2204_k8s01_node03,8,32,120,500,620,,,9 920,,10.20.42.107,,https://grafana.ics-it.ru/d/ov0oEgdik/linux-hosts-metrics?orgId=1&from=now-7d&to=now&var-host=node3.kubernetes01.ics.local:9100&var-job=devops-nodeexporter-kubernetes01,"49,50%","Flux
Gramax dev
Gramax prod
ingress Nginx
istio-ingress
keda-admission-webhooks
kube-prometheus-stack
csi-driver-nfs
mdt-develop-tests-mssql
mdt-demo-beta
mdt-demo-develop
mdt-demo-main
mdt-develop-pgsql
mdt-main-pgsql
mdt-main-tests-mssql
metallb-system
metrics-server
quiz-prod (Web Mobile)
quiz-prod-old (Web Есть задача на Devops QZ-10121)
mdt-quiz-dev1 (MDT Dev-stand)
mdt-quiz-dev2 (MDT Dev-stand)
quiz-dev1 (Web Dev-stand)
quiz-dev2 (Web Dev-stand)
quiz-dev3 (Web Dev-stand)
quiz-e2e (Web Dev-stand)
quiz-preprod (Web Dev-stand)
quiz-prod-demo (Web Demo-stand)
quiz-test1 (Web Dev-stand)",Kubernetes,DO,,
,142107_ubuntu2204_k8s01_node04,8,32,120,,120,,,5 920,,10.20.42.108,,https://grafana.ics-it.ru/d/ov0oEgdik/linux-hosts-metrics?orgId=1&from=now-7d&to=now&var-host=node4.kubernetes01.ics.local:9100&var-job=devops-nodeexporter-kubernetes01,"77,20%","Flux
Gramax dev
Gramax prod
ingress Nginx
istio-ingress
keda-admission-webhooks
kube-prometheus-stack
csi-driver-nfs
mdt-develop-tests-mssql
mdt-demo-beta
mdt-demo-develop
mdt-demo-main
mdt-develop-pgsql
mdt-main-pgsql
mdt-main-tests-mssql
metallb-system
metrics-server
quiz-prod (Web Mobile)
quiz-prod-old (Web Есть задача на Devops QZ-10121)
mdt-quiz-dev1 (MDT Dev-stand)
mdt-quiz-dev2 (MDT Dev-stand)
quiz-dev1 (Web Dev-stand)
quiz-dev2 (Web Dev-stand)
quiz-dev3 (Web Dev-stand)
quiz-e2e (Web Dev-stand)
quiz-preprod (Web Dev-stand)
quiz-prod-demo (Web Demo-stand)
quiz-test1 (Web Dev-stand)",Kubernetes,DO,,
5 Ghz,142108_ubuntu_node5,8,32,120,,120,,,11 680,,10.20.42.109,,https://grafana.ics-it.ru/d/ov0oEgdik/linux-hosts-metrics?orgId=1&from=now-7d&to=now&var-host=node5.kubernetes01.ics.local:9100&var-job=devops-nodeexporter-kubernetes01,"15,00%",Runner e2e,,DO,,чей сервер? Почему runner e2e? грамакс?
,14210_win22,8,12,80,512,592,,,8 096,,10.20.42.11,,не мониторится,,demo Потенциал продаж,Используется для демонстраций потенциальным клиентам,MOD,,
5 Ghz,14211_win22,8,32,300,100,400,,,13 920,,10.20.42.12,,не мониторится,,Naos Demo,,NAOS,,мониторинг?
,14212_win2016r2_MDLZ_Prod__,6,18,100,2048,2148,,,0,,10.20.42.13,,https://grafana.ics-it.ru/d/000000014/windows-node?orgId=1&from=now-7d&to=now&var-server=prod.mdlz.ics.local&var-cpumode=dpc,"44,70%",MDLZ prod,PhotoTool,MDLZ,Планируется к удалению,DCORE
,14213_win2022_DCore_Dev,4,12,130,140,270,,,0,,10.20.42.14,,https://grafana.ics-it.ru/d/000000014/windows-node?orgId=1&from=now-7d&to=now&var-server=vm14213.ics.local&var-cpumode=dpc,"5,15%",MDLZ dev,MDLZ dev c Dcore,MDLZ,Планируется к удалению,DCORE
,14214_win22_Opticell,4,24,70,350,420,,,6 480,,10.20.42.15,,https://grafana.ics-it.ru/d/000000014/windows-node?orgId=1&from=now-7d&to=now&var-server=opticell.inta.ics.local&var-cpumode=dpc,"17,60%",Opticell prod,,Opticell,,
5 Ghz,14215_win22,6,24,60,3072,3132,,,33 096,,10.20.42.16,,n/a,,tenant SO Mondeliz,,SO MDLZ,,почему такой дорогой сервер и почему нет мониторинга?
,14216_win22,4,16,60,500,560,,,6 960,,10.20.42.17,,https://grafana.ics-it.ru/d/000000014/windows-node?orgId=1&from=now-7d&to=now&var-server=zambon.sellout.ics.local&var-cpumode=dpc,"27,10%",tenant SO Zambon,,SO Zambon,,
5 Ghz,14217_ubuntu2204,2,8,300,,300,,,5 080,,10.20.42.18,,,,,,,,
,14218_ubuntu2204,1,1,20,,20,,,740,1,10.20.42.19,194.226.164.220,не мониторится,,angie proxy legacy,Поддерживает старые устройства заказчиков,DO,,
